,Name,Address,Number,Review,Bookmark,Price_range,category,Subcategory
203,Seafood Port Restaurant 小漁港海鮮舫 鮮蒸‧鮮味火鍋,"G/F, 127-133 Lai Chi Kok Road, Prince Edward",24680030,(417 Reviews),18848,$201-400,Hong Kong Style,Hot Pot
204,The Hangout Corner 我愛慢煮,"Shop G2, G/F, 18 Po Hing Fong, Sheung Wan",27372665,(445 Reviews),10797,$101-200,International,Wine
205,Hiroshi 宏,"Shop 502, 5/F, The ONE, 100 Nathan Road, Tsim Sha Tsui",27712781,(786 Reviews),14940,$101-200,Japanese,Dessert
206,Rimi Cafe,"20/F, Dundas Square, 43H Dundas Street, Mong Kok",37098140,(462 Reviews),17862,$101-200,Western,Upper-floor Cafe
207,Ganso Tsukemen 元祖沾麵專門店,"Shop 5, G/F, Dorfu Court, 5-6 Hau Fook Street, Tsim Sha Tsui",31059968,(807 Reviews),15291,$101-200,Japanese,Ramen
208,Nom Nom Dumpling 餃掂手工餃子雲吞專門店,"G/F, 30 Boundary Street, Prince Edward",34811883,(505 Reviews),16824,$51-100,Guangdong,Wonton/Dumpling
209,Cafe Swan 咖啡灣,"Shop 30-33, G/F, KOLOUR Tsuen Wan ll, 68 Chung On Street, Tsuen Wan",24123836,(590 Reviews),14850,$51-100,Western,Bakery
210,Olive Cafe,"Shop G4, G/F Grand City Plaza,1-17 Sai Lau Kok Road, Tsuen Wan",21570000,(514 Reviews),10248,$51-100,Western,Private Party
211,Goobne Chicken,"25/F, V Point, 18 Tang Lung Street, Causeway Bay",25761199,(470 Reviews),12469,$101-200,Korean,Korean Fried Chicken
212,Cheng Banzhang Taiwan Delicacy 程班長台灣美食,"Flat 02, 1/F, Elite Industrial Centre, 883 Cheung Sha Wan Road, Lai Chi Kok",26608136,(679 Reviews),31776,$51-100,Taiwan,Noodles/Rice Noodles
213,良記餐廳(老鳳冰室),"G/F, 216 Ki Lung Street, Sham Shui Po",23384315,(507 Reviews),20652,Below $50,Hong Kong Style,Seafood
214,A Happy Pancake 幸福班戟,"Shop 203-205, 2/F, Lee Garden Three, 1 Sunning Road, Causeway Bay",21519126,(439 Reviews),24647,$101-200,Japanese,Dessert
215,Espuma,"25/F, QRE Plaza, 202 Queen Road East, Wan Chai",23376728,(633 Reviews),21835,$101-200,Spanish,Dessert
216,LOST STARS LIVEHOUSE BAR & EATERY,"Shop 506, G/F, Phase 1, Square Mile, 11 Li Tak Street, Tai Kok Tsui",23313973,(494 Reviews),14247,$101-200,International,Wine
217,Burgerman,"Shop C, G/F., 95-97 Ivy St., Tai Kok Tsui",28779220,(566 Reviews),9031,$51-100,American,Hamburger
218,Jiufen Shifen 九份•十分,"Shop 27-28, G/F, Garden Rivera, 20-30 Tai Chung Kiu Road, Sha Tin",31049234,(450 Reviews),9980,$51-100,Taiwan,Amitie Kitchen
219,Amitie Kitchen,"9/F, H8, 8 Hau Fook Street, Tsim Sha Tsui",51116074,(355 Reviews),6938,$201-400,Italian,Steak House
220,Chotto Maki,"G/F, Li Yuen Street West, Central",28387022,(312 Reviews),6909,$51-100,Japanese,Sushi/Sashimi
221,Bicho 備長,"26/F, Macau Yat Yuen Centre, 525 Hennessy Road, Causeway Bay",24479188,(399 Reviews),11807,$201-400,Japanese,Skewer
222,Kedai Kopi Semua Semua 蘇媽.蘇媽馬來西亞茶餐室,"G/F, 251 Ki Lung Street, Sham Shui Po",21806578,(436 Reviews),28649,$51-100,Malaysian,Ming Bistro 名館
223,Ming Bistro 名館,"Shop 1401, 14/F, Hysan Place, 500 Hennessy Road, Causeway Bay",26681663,(506 Reviews),20676,$101-200,Guangdong,Dim Sum
224,Superdon スーパー丼,"G/F, 501 Lockhart Road, Causeway Bay",28821889,(591 Reviews),18304,$101-200,Japanese,Sushi/Sashimi
225,The Graces Restaurant 玉桃軒酒家,"20/F, Lee Theatre Plaza, 99 Percival Street, Causeway Bay",23700530,(383 Reviews),7322,$101-200,Guangdong,Dim Sum
226,Pizza Piazza,"Shop 1A, G/F., Elite Industrial Centre, 883 Cheung Sha Wan Road, Lai Chi Kok",23865055,(436 Reviews),9089,$101-200,Italian,Pizza
227,Hamataki 浜滝,"Shop A, G/F, 59 Fuk Lo Tsun Road, Kowloon City",25111212,(429 Reviews),12345,$201-400,Japanese,Ramen
228,The Oyster House,"Shop C, G/F, 154 Jaffe Road, Wan Chai",26646128,(439 Reviews),20433,$201-400,Italian,Seafood
229,Noc Noc,"Shop B, G/F, Winnye Tower, 28 Kau Hui Chik Street, Tai Po",23162288,(336 Reviews),7566,$101-200,International,All Day Breakfast
230,Akita Hamayaki 秋田浜燒食堂,"G/F, 8 Observatory Court, Tsim Sha Tsui",36222162,(339 Reviews),6827,$201-400,Japanese,Seafood
231,Daimanki Japanese Restaurant 大滿喜日本料理,"8/F, Chong Hing Square, 593-601 Nathan Road, Mong Kok",31888015,(678 Reviews),36534,$201-400,Japanese,All-you-can-eat
232,KOKON2 古今二,"Room B, 1/F, Kwun Tong Industrial Centre Phase 4, 436-446 Kwun Tong Road, Kwun Tong",27808399,(357 Reviews),20077,$201-400,Japanese,Sushi/Sashimi
233,壹火鍋,"16/F, CTMA Centre, 1 Sai Yeung Choi Street, Mong Kok",21112715,(429 Reviews),23409,$201-400,Guangdong,Hot Pot
234,Country Man Kitchen 六合小廚,"7/F, VIP Commerical Centre, 116-120 Canton Road, Tsim Sha Tsui",27943995,(354 Reviews),1835,$51-100,Hong Kong Style,Food Stall Noodles
235,Sushi Man 鮨文,"Shop G22A, G/F, Treasure World (Site 11), The Whampoa, Hung Hom",21177001,(306 Reviews),8243,Above $801,Japanese,Sushi/Sashimi
236,Sun Thai Restaurant 新泰東南亞餐廳,"8/F, Prince Tower, 12A Peking Road, Tsim Sha Tsui",23237098,(369 Reviews),13874,$101-200,Thai,Curry
237,The Drunken Pot 酒鍋,"27/F, V Point, 18 Tang Lung Street, Causeway Bay",24610888,(715 Reviews),18749,$201-400,Guangdong,Hot Pot
238,Mitsuan Honzen 蜜庵本膳,"Shop A, G/F, 8 Hart Avenue, Tsim Sha Tsui",52700008,(406 Reviews),11901,$101-200,Japanese,Lockeroom Dining
239,Lockeroom Dining,"8/F, Lang Ching Place, 215 Portland Street, Mong Kok",28135328,(419 Reviews),7458,$101-200,Western,All Day Breakfast
240,Cafe Paradise,"Shop G53A, G/F, Heng Fa Paradise Mall, 100 Shing Tai Road, Heng Fa Chuen",37059848,(440 Reviews),2734,$51-100,Italian,Dessert
241,Yuan Is Here 阿元來了,"G/F, 28 Hung To Road, Kwun Tong",28951116,(492 Reviews),27560,$51-100,Taiwan,Taiwanese Drink
242,Via Tokyo,"Shop 1A-1B, G/F, Leishun Court, 106-126 Leighton Road, Causeway Bay",34210472,(846 Reviews),39288,Below $50,Japanese,Dessert
243,Siam 28,"28/F, Macau Yat Yuen Centre, 525 Hennessy Road, Causeway Bay",25419090,(339 Reviews),19678,$101-200,Thai,Seafood
244,Green Orange,"2/F, CS Tower, 50 Wing Lok Street, Sheung Wan",26388099,(477 Reviews),20299,$101-200,Italian,Fine Dining
245,Gyushige 牛繁,"G/F, MW Plaza , 40 Kimberley Road, Tsim Sha Tsui",23630938,(350 Reviews),13396,$201-400,Japanese,Roast Meat
246,Green Waffle Diner,"Shop G002, G/F, YOHO MALL I, 9 Yuen Lung Street, Yuen Long",98833678,(357 Reviews),2858,$101-200,Western,All Day Breakfast
247,Wanna Eat,"G/F, 16 Choi Hung Road, San Po Kong",28822083,(393 Reviews),5312,$51-100,Western,Coffee Shop
248,Chili Party 麻辣派對,"1/F, Soravit on Granville Hotel, 29A Granville Road, Tsim Sha Tsui",26250199 (Hotline),(307 Reviews),10194,$101-200,Sichuan,Stir-Fry
249,Hot Pot Couple 夫妻沸片-台式麻辣火鍋,"Shop B102, B/F, Grand Tower, 639 Nathan Road, Mong Kok",,(344 Reviews),6501,$101-200,Taiwan,Hot Pot
